"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 21 21:16:59 CST 2026","Thu May 21 21:16:59 CST 2026","240","","test_slt","TestSltDaemon","","","test_slt_daemon_started_with_config","确认 slt_daemon 以正确参数启动"
"passed","Thu May 21 21:16:58 CST 2026","Thu May 21 21:16:58 CST 2026","1","","test_monitor","TestQEMUMonitor","","","test_query_status","查询 VM 运行状态"
"passed","Thu May 21 21:16:59 CST 2026","Thu May 21 21:16:59 CST 2026","225","","test_slt","TestSltDaemon","","","test_slt_daemon_running","确认 slt_daemon 进程正在运行"
"passed","Thu May 21 21:17:01 CST 2026","Thu May 21 21:17:04 CST 2026","3235","","test_slt","TestSltCommand","","","test_slt_echo_command","测试基本 echo 命令: 执行成功 + 模式匹配"
"passed","Thu May 21 21:17:26 CST 2026","Thu May 21 21:17:26 CST 2026","101","","test_sort_app","TestSortAppEdgeCases","","","test_already_sorted","已排序数组"
"passed","Thu May 21 21:15:48 CST 2026","Thu May 21 21:15:48 CST 2026","92","","test_embeded_logging","TestElogcatBuffer","","","test_six_buffers","确认 6 个 log buffer 都存在"
"skipped","Thu May 21 21:15:47 CST 2026","Thu May 21 21:15:47 CST 2026","0","","test_dmabuf","TestDmaBufSyncFile","","","test_export_sync_file","EXPORT_SYNC_FILE 导出 fence (test 7)"
"passed","Thu May 21 21:16:01 CST 2026","Thu May 21 21:16:02 CST 2026","189","","test_embeded_logging","TestElogWriteRead","","","test_clear_then_count_zero","清空后 main buffer count 为 0"
"passed","Thu May 21 21:15:48 CST 2026","Thu May 21 21:15:48 CST 2026","103","","test_embeded_logging","TestElogcatBasic","","","test_elogcat_clear","elogcat -c 清空 buffer"
"passed","Thu May 21 21:17:26 CST 2026","Thu May 21 21:17:26 CST 2026","131","","test_sort_app","TestSortAppAlgorithms","","","test_algorithm_sorted[heap]","每种算法排序后验证结果有序"
"passed","Thu May 21 21:15:43 CST 2026","Thu May 21 21:15:43 CST 2026","156","","test_cv_framework","TestCvTestFilter","","","test_filter_nonexistent","筛选不存在的用例应标记为 SKIP"
"passed","Thu May 21 21:15:42 CST 2026","Thu May 21 21:15:42 CST 2026","157","","test_cv_framework","TestCvTestBinary","","","test_cv_test_exists","确认 cv_test 可执行文件存在"
"passed","Thu May 21 21:17:04 CST 2026","Thu May 21 21:17:07 CST 2026","3217","","test_slt","TestSltCommand","","","test_slt_pattern_mismatch","测试命令执行成功但模式不匹配"
"passed","Thu May 21 21:16:57 CST 2026","Thu May 21 21:16:57 CST 2026","105","","test_filesystem","TestFilesystem","","","test_proc_mounts","查看 /proc/mounts"
"passed","Thu May 21 21:16:02 CST 2026","Thu May 21 21:16:03 CST 2026","700","","test_embeded_logging","TestElogTest","","","test_elog_test_nine_suites","验证 elog_test 运行了 9 个测试套件"
"skipped","Thu May 21 21:15:47 CST 2026","Thu May 21 21:15:47 CST 2026","0","","test_dmabuf","TestDmaBufReloadStability","","","test_reload_3_cycles_all_pass","连续 3 次 reload + test_dmabuf 全通过"
"passed","Thu May 21 21:15:48 CST 2026","Thu May 21 21:15:48 CST 2026","125","","test_embeded_logging","TestElogFlush","","","test_log_files_exist","确认刷盘日志文件存在"
"skipped","Thu May 21 21:15:47 CST 2026","Thu May 21 21:15:47 CST 2026","0","","test_dmabuf","TestDmaBufImplicitSync","","","test_implicit_sync_wait","隐式同步路径验证 (test 9)"
"passed","Thu May 21 21:17:00 CST 2026","Thu May 21 21:17:00 CST 2026","103","","test_slt","TestSltDirectories","","","test_log_directory_exists","确认 /var/log/slt 目录存在"
"passed","Thu May 21 21:16:58 CST 2026","Thu May 21 21:16:58 CST 2026","171","","test_process","TestProcess","","","test_process_count","查看当前进程数量"
"passed","Thu May 21 21:17:25 CST 2026","Thu May 21 21:17:26 CST 2026","142","","test_sort_app","TestSortAppAlgorithms","","","test_algorithm_sorted[merge]","每种算法排序后验证结果有序"
"passed","Thu May 21 21:15:52 CST 2026","Thu May 21 21:16:01 CST 2026","9672","","test_embeded_logging","TestElogWriteRead","","","test_elog_app_write_and_grow","elog_app 写入日志后 buffer count 增长"
"passed","Thu May 21 21:17:00 CST 2026","Thu May 21 21:17:01 CST 2026","267","","test_slt","TestSltTcpPort","","","test_nc_can_send_slt_command","确认 nc 可以连接 slt_daemon 并收到有效响应"
"passed","Thu May 21 21:16:57 CST 2026","Thu May 21 21:16:57 CST 2026","204","","test_filesystem","TestFilesystem","","","test_root_mount","确认根文件系统已挂载"
"passed","Thu May 21 21:17:24 CST 2026","Thu May 21 21:17:24 CST 2026","155","","test_sort_app","TestSortAppBasic","","","test_help","显示帮助信息"
